epoch,train_loss,val_loss
1,3.538450413409714,0.10752967914642193
2,0.39647987073902446,0.18706325157844658
3,0.14141514744820533,0.11471167532912581
4,0.09752314860573062,0.08923126423229903
5,0.0798634081202152,0.07205315984250148
6,0.06900015840592322,0.06394969800953225
7,0.062089606880703016,0.05969744922652905
8,0.05744938093023899,0.055961106504841804
9,0.05569026918372551,0.05360602449016138
10,0.05231770703488098,0.04785435914141791
11,0.041499774068748795,0.040794117245452226
12,0.03978817230475929,0.03960194826306719
13,0.038983803062598944,0.039081765020435505
14,0.038395986360801763,0.038276031128900906
15,0.037859521875056354,0.038002430767465976
16,0.037409636043753976,0.0377434357612422
17,0.036999189580467357,0.03688843096179879
18,0.03655066009772805,0.036692485738755304
19,0.036147677409132835,0.03610941375127603
20,0.035760877192717096,0.03590020914549952
test,,0.035865904907514526
